Vendor,Reachable,Has ONPI,HTTPS ORG URL,Findable Metadata,Findable SMART,Findable OpenAPI Docs,Findable OpenAPI JSON,Findable Swagger,Findable Swagger JSON
carecloud_health_inc,True,False,https://api-datamanager.carecloud.com:8081/api/fhir/R4/DCM,https://api-datamanager.carecloud.com:8081/metadata,https://api-datamanager.carecloud.com:8081/.well-known/smart-configuration,https://api-datamanager.carecloud.com:8081/api-docs,https://api-datamanager.carecloud.com:8081/openapi.json,https://api-datamanager.carecloud.com:8081/swagger,False
carecloud_inc,True,False,https://api-datamanager.carecloud.com:8081/api/fhir/R4/DCM,https://api-datamanager.carecloud.com:8081/metadata,https://api-datamanager.carecloud.com:8081/.well-known/smart-configuration,https://api-datamanager.carecloud.com:8081/api-docs,https://api-datamanager.carecloud.com:8081/openapi.json,https://api-datamanager.carecloud.com:8081/swagger,False
epic_systems_corporation,True,False,https://epicsoap.stormontvail.org/FHIRproxy/HOME/api/FHIR/R4,https://epicsoap.stormontvail.org/FHIRproxy/HOME/api/FHIR/R4/metadata,https://epicsoap.stormontvail.org/FHIRproxy/HOME/api/FHIR/R4/.well-known/smart-configuration,https://interconnect.carelonhealth.com/api-docs,False,https://interconnect.carelonhealth.com/swagger,https://lmcrcs.lexmed.com/swagger.json
meridian_medical_management,True,False,https://api-datamanager.carecloud.com:8081/api/fhir/R4/DCM,https://api-datamanager.carecloud.com:8081/metadata,https://api-datamanager.carecloud.com:8081/.well-known/smart-configuration,https://api-datamanager.carecloud.com:8081/api-docs,https://api-datamanager.carecloud.com:8081/openapi.json,https://api-datamanager.carecloud.com:8081/swagger,False
the_echo_group,True,False,https://hamilton.echoehr.com/fhir/r4/,https://hamilton.echoehr.com/metadata,https://hamilton.echoehr.com/.well-known/smart-configuration,False,https://hamilton.echoehr.com/openapi.json,https://hamilton.echoehr.com/swagger,https://hamilton.echoehr.com/swagger.json
adaptamed_llc,True,True,https://ehrfhir.ehryourway.com/api/v1,https://ehrfhir.ehryourway.com/api/v1/metadata,https://ehrfhir.ehryourway.com/api/v1/.well-known/smart-configuration,False,False,https://ehrfhir.ehryourway.com/swagger,False
cybermed_health_inc,True,True,https://api.cybermedehr.com/fhir/,https://api.cybermedehr.com/fhir/metadata,https://api.cybermedehr.com/.well-known/smart-configuration,False,False,https://api.cybermedehr.com/swagger,False
digidms_inc,True,True,https://fhir.digidms.com/fhir,https://fhir.digidms.com/fhir/metadata,https://fhir.digidms.com/fhir/.well-known/smart-configuration,False,False,https://fhir.digidms.com/swagger,False
doctome_inc,True,True,https://fhir.ethizo.com/api/4.0.0,https://fhir.ethizo.com/api/4.0.0/metadata,https://fhir.ethizo.com/api/4.0.0/.well-known/smart-configuration,False,False,https://fhir.ethizo.com/swagger,False
genius_solutions_inc,True,False,https://inferno.healthit.gov/suites/custom/service_base_url/examples/CapabilityStatement,https://inferno.healthit.gov/suites/custom/service_base_url/examples/CapabilityStatement/metadata,https://gsehrwebapi.geniussolutions.com/.well-known/smart-configuration,https://gsehrwebapi.geniussolutions.com/api-docs,False,https://gsehrwebapi.geniussolutions.com/swagger,False
lunar_systems_inc,True,True,https://fhir-usa.unify.chbase.com/org/salem-ae4e49e4,https://fhir-usa.unify.chbase.com/metadata,https://fhir-usa.unify.chbase.com/.well-known/smart-configuration,False,False,https://fhir-usa.unify.chbase.com/swagger,False
magilen_enterprises_inc,True,False,https://inferno.healthit.gov/suites/custom/service_base_url/examples/CapabilityStatement,https://inferno.healthit.gov/suites/custom/service_base_url/examples/CapabilityStatement/metadata,https://gsehrwebapi.geniussolutions.com/.well-known/smart-configuration,https://gsehrwebapi.geniussolutions.com/api-docs,False,https://gsehrwebapi.geniussolutions.com/swagger,False
maxremind_inc,True,True,https://fhir.maximus.care/api/r4,https://fhir.maximus.care/api/r4/metadata,https://fhir.maximus.care/api/r4/.well-known/smart-configuration,False,False,https://fhir.maximus.care/swagger,False
medaz_net_llc,True,True,https://fhirapi.mhealthaz.com,https://fhirapi.mhealthaz.com/metadata,https://fhirapi.mhealthaz.com/.well-known/smart-configuration,False,False,https://fhirapi.mhealthaz.com/swagger,False
medcare_mso,True,True,https://fhirapi.medcaremso.com/api/R4/21010,https://fhirapi.medcaremso.com/api/R4/metadata,https://fhirapi.medcaremso.com/api/R4/.well-known/smart-configuration,False,False,https://fhirapi.medcaremso.com/api/R4/swagger,False
mendelson_kornblum_orthopedic_spine_specialists,True,True,https://fhir.mkoss.com/fhir,https://fhir.mkoss.com/fhir/metadata,https://fhir.mkoss.com/fhir/.well-known/smart-configuration,False,False,https://fhir.mkoss.com/swagger,False
omnimd_inc,True,True,https://hapi.omnimd.com/fhir,https://hapi.omnimd.com/fhir/metadata,https://hapi.omnimd.com/.well-known/smart-configuration,https://hapi.omnimd.com/fhir/api-docs,False,False,False
omnimd_inc_2,True,True,https://hapi.omnimd.com/fhir/CapabilityStatement,https://hapi.omnimd.com/fhir/metadata,https://hapi.omnimd.com/.well-known/smart-configuration,https://hapi.omnimd.com/fhir/api-docs,False,False,False
openemr_foundation,True,True,https://wellness.shsinc.net/apis/default/fhir,https://snf.shsinc.net/apis/default/fhir/metadata,https://wellness.shsinc.net/apis/default/fhir/.well-known/smart-configuration,False,False,https://wellness.shsinc.net/swagger,False
pcis_gold,True,True,https://portal.premierfamily.net/fhir,https://portal.premierfamily.net/fhir/metadata,https://portal.premierfamily.net/fhir/.well-known/smart-configuration,False,False,https://portal.premierfamily.net/fhir/swagger,False
1life_healthcare_inc,True,True,https://api.prod.1life.com/fhir/4.0,https://api.prod.1life.com/fhir/4.0/metadata,https://api.prod.1life.com/fhir/.well-known/smart-configuration,False,False,False,False
altera_digital_health_inc,True,True,https://pma0fhir.ma0.hos.ahcentral.com/R4/open-R4/USCore6.1,https://myhealth.ecmc.edu/R4/open-R4/metadata,https://myhealth.ecmc.edu/R4/open-R4/.well-known/smart-configuration,False,False,False,False
athenahealth_inc,True,True,https://api.platform.athenahealth.com/13103/brand/1/csg/1/fhir/r4,https://api.platform.athenahealth.com/13103/brand/1/csg/1/fhir/r4/metadata,https://api.platform.athenahealth.com/13103/brand/1/csg/1/fhir/r4/.well-known/smart-configuration,False,False,False,False
avon_health,True,True,https://trial.avonhealth.com/fhir,https://trial.avonhealth.com/fhir/metadata,https://trial.avonhealth.com/fhir/.well-known/smart-configuration,False,False,False,False
carefluence,True,False,https://admin.carefluence.com/r4core/,https://admin.carefluence.com/r4core/metadata,https://admin.carefluence.com/r4core/.well-known/smart-configuration,False,False,https://admin.carefluence.com/r4core/swagger,False
carepaths_inc,True,True,https://developer.carepaths.com/stubblefield/api/,https://developer.carepaths.com/metadata,https://developer.carepaths.com/.well-known/smart-configuration,False,False,False,False
caretracker_inc,True,False,https://ac-fhir.harrisambulatory.com/ac-1672/fhir/r4,https://ac-fhir.harrisambulatory.com/ac-1672/fhir/r4/metadata,https://ac-fhir.harrisambulatory.com/ac-1672/fhir/r4/.well-known/smart-configuration,False,False,https://ac-fhir.harrisambulatory.com/swagger,False
comtron_inc,True,True,https://bill.medgenehr.com:7043/fhir/,https://bill.medgenehr.com:7043/fhir/metadata,https://bill.medgenehr.com:7043/fhir/.well-known/smart-configuration,False,False,False,False
curemd_com_inc,True,True,https://fhirendpoint.curemd.net/fhir/CM144,https://fhirendpoint.curemd.net/fhir/metadata,https://fhirendpoint.curemd.net/fhir/.well-known/smart-configuration,False,False,False,False
cursahealth_llc,True,True,https://fhirapi.cursahealth.com/r4,https://fhirapi.cursahealth.com/r4/metadata,False,False,False,https://fhirapi.cursahealth.com/swagger,False
